occupation_id,demand_expansion_context,labor_demand_context,labor_tightness_context,ai_adoption_context,adoption_realization_context,labor_context_confidence,adoption_context_confidence,context_confidence,btos_covered_sector_share,source_mix,notes,demand_floor_suppression
occ_15_1252_00,0.5583,0.6647,0.3100,0.9039,0.8603,0.8500,0.9444,0.8925,0.9700,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.943|openings_rate_pct=0.183|inverse_unemployment_pct=0.500|btos_adoption_pct=0.897|btos_current_ai_use_pct=0.897|btos_workflow_change_pct=0.897|adoption_activation=1.000,1.00
occ_15_1253_00,0.5265,0.6108,0.3300,0.8863,0.8437,0.8500,0.9387,0.8899,0.9490,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.830|openings_rate_pct=0.217|inverse_unemployment_pct=0.500|btos_adoption_pct=0.879|btos_current_ai_use_pct=0.879|btos_workflow_change_pct=0.879|adoption_activation=1.000,1.00
occ_15_2031_00,0.6793,0.7605,0.4900,0.6397,0.5970,0.8500,0.7907,0.8233,0.5000,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.981|openings_rate_pct=0.483|inverse_unemployment_pct=0.500|btos_adoption_pct=0.655|btos_current_ai_use_pct=0.655|btos_workflow_change_pct=0.655|adoption_activation=0.981,1.00
occ_17_2051_00,0.3966,0.4509,0.2700,0.8029,0.7629,0.8500,0.9275,0.8849,0.9260,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.585|openings_rate_pct=0.117|inverse_unemployment_pct=0.500|btos_adoption_pct=0.793|btos_current_ai_use_pct=0.776|btos_workflow_change_pct=0.793|adoption_activation=1.000,1.00
occ_17_2071_00,0.4370,0.5214,0.2400,0.4498,0.4550,0.8500,0.9006,0.8728,0.9460,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.736|openings_rate_pct=0.067|inverse_unemployment_pct=0.500|btos_adoption_pct=0.345|btos_current_ai_use_pct=0.414|btos_workflow_change_pct=0.552|adoption_activation=0.636,1.00
occ_17_2072_00,0.4093,0.4861,0.2300,0.4498,0.4545,0.8500,0.9006,0.8728,0.9460,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.679|openings_rate_pct=0.050|inverse_unemployment_pct=0.500|btos_adoption_pct=0.345|btos_current_ai_use_pct=0.414|btos_workflow_change_pct=0.552|adoption_activation=0.636,1.00
occ_17_2112_00,0.5470,0.6357,0.3400,0.1411,0.1684,0.8500,0.9318,0.8868,0.9450,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.868|openings_rate_pct=0.233|inverse_unemployment_pct=0.500|btos_adoption_pct=0.052|btos_current_ai_use_pct=0.052|btos_workflow_change_pct=0.052|adoption_activation=0.075,1.00
occ_17_2141_00,0.4647,0.5567,0.2500,0.1747,0.1990,0.8500,0.9410,0.8909,0.9710,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.792|openings_rate_pct=0.083|inverse_unemployment_pct=0.500|btos_adoption_pct=0.086|btos_current_ai_use_pct=0.086|btos_workflow_change_pct=0.086|adoption_activation=0.136,1.00
occ_23_1011_00,0.3189,0.3698,0.2000,0.4500,0.3419,0.8500,0.0000,0.4675,0.0000,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.491|openings_rate_pct=0.000|inverse_unemployment_pct=0.500|btos_adoption_pct=0.500|btos_current_ai_use_pct=0.500|btos_workflow_change_pct=0.500|adoption_activation=0.636,1.00
occ_23_2011_00,0.5157,0.4453,0.6800,0.9439,0.9137,0.8500,0.9331,0.8874,0.9050,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.264|openings_rate_pct=0.800|inverse_unemployment_pct=0.500|btos_adoption_pct=0.948|btos_current_ai_use_pct=0.948|btos_workflow_change_pct=0.948|adoption_activation=1.000,1.00
occ_27_1024_00,0.4810,0.4472,0.5600,0.8360,0.8170,0.8500,0.9456,0.8930,0.9720,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.358|openings_rate_pct=0.600|inverse_unemployment_pct=0.500|btos_adoption_pct=0.828|btos_current_ai_use_pct=0.810|btos_workflow_change_pct=0.810|adoption_activation=1.000,1.00
occ_27_3023_00,0.4103,0.3289,0.6000,0.9984,0.9649,0.8500,0.9363,0.8889,0.9840,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.113|openings_rate_pct=0.667|inverse_unemployment_pct=0.500|btos_adoption_pct=1.000|btos_current_ai_use_pct=1.000|btos_workflow_change_pct=1.000|adoption_activation=1.000,1.00
occ_27_3031_00,0.5787,0.5738,0.5900,0.7239,0.7112,0.8500,0.8995,0.8723,0.8680,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.566|openings_rate_pct=0.650|inverse_unemployment_pct=0.500|btos_adoption_pct=0.707|btos_current_ai_use_pct=0.724|btos_workflow_change_pct=0.690|adoption_activation=1.000,1.00
occ_27_3041_00,0.5052,0.4432,0.6500,0.9676,0.9416,0.8500,0.9383,0.8897,0.9860,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.283|openings_rate_pct=0.750|inverse_unemployment_pct=0.500|btos_adoption_pct=0.966|btos_current_ai_use_pct=0.966|btos_workflow_change_pct=0.966|adoption_activation=1.000,1.00
occ_27_3042_00,0.3646,0.3494,0.4000,0.6671,0.6565,0.8500,0.9381,0.8896,0.9640,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.302|openings_rate_pct=0.333|inverse_unemployment_pct=0.500|btos_adoption_pct=0.638|btos_current_ai_use_pct=0.621|btos_workflow_change_pct=0.638|adoption_activation=1.000,1.00
occ_27_3043_00,0.6521,0.5887,0.8000,0.7814,0.7860,0.8500,0.9346,0.8881,0.9610,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.434|openings_rate_pct=1.000|inverse_unemployment_pct=0.500|btos_adoption_pct=0.759|btos_current_ai_use_pct=0.759|btos_workflow_change_pct=0.776|adoption_activation=1.000,1.00
