occupation_id,onet_soc_code,acs_reference_year,acs_release_label,acs_socp_code,acs_query_mode,sample_record_count,employed_record_count,weighted_worker_count,wage_record_count,median_wage_usd,wage_p25_usd,wage_p75_usd,wage_dispersion_ratio,wage_dispersion_percentile,education_dispersion,industry_dispersion,class_of_worker_dispersion,age_band_dispersion,sex_mix_balance,worker_mix_dispersion,heterogeneity_index,acs_confidence,source_mix,notes
occ_27_3043_00,27-3043.00,2024,acs_1yr_pums,273043,exact_socp,3493,2620,251819.000,2033,60000.000,30000.000,90000.000,1.000,0.836,0.668,0.905,0.731,0.795,0.780,0.774,0.806,0.909,src_census_acs_2024_1yr_pums_api,acs_api_records=3493|employed_records=2620|wage_record_share=0.776|query_mode=exact_socp
occ_41_3011_00,41-3011.00,2024,acs_1yr_pums,413011,exact_socp,1224,985,102837.000,937,70000.000,40000.000,135000.000,1.357,0.982,0.641,0.719,0.287,0.795,0.917,0.711,0.750,0.903,src_census_acs_2024_1yr_pums_api,acs_api_records=1224|employed_records=985|wage_record_share=0.951|query_mode=exact_socp
occ_41_3021_00,41-3021.00,2024,acs_1yr_pums,413021,exact_socp,7503,6273,633772.000,5555,55000.000,36000.000,96000.000,1.091,0.927,0.787,0.535,0.449,0.796,0.975,0.772,0.724,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=7503|employed_records=6273|wage_record_share=0.886|query_mode=exact_socp
occ_41_3031_00,41-3031.00,2024,acs_1yr_pums,413031,exact_socp,2403,2015,208052.000,1874,111000.000,59000.000,250000.000,1.721,1.000,0.672,0.568,0.281,0.793,0.546,0.579,0.683,0.937,src_census_acs_2024_1yr_pums_api,acs_api_records=2403|employed_records=2015|wage_record_share=0.930|query_mode=exact_socp
occ_41_3091_00,41-3091.00,2024,acs_1yr_pums,413091,exact_socp,8433,7103,772853.000,6859,80000.000,45000.000,140000.000,1.188,0.945,0.745,0.906,0.218,0.794,0.628,0.592,0.811,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=8433|employed_records=7103|wage_record_share=0.966|query_mode=exact_socp
occ_41_4011_00,41-4011.00,2024,acs_1yr_pums,414010,grouped_zero_fallback,13920,11587,1177583.000,11187,75000.000,49000.000,125000.000,1.013,0.855,0.778,0.972,0.201,0.794,0.587,0.573,0.820,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=13920|employed_records=11587|wage_record_share=0.965|query_mode=grouped_zero_fallback
occ_43_1011_00,43-1011.00,2024,acs_1yr_pums,431011,exact_socp,14186,11665,1172984.000,11481,55000.000,39000.000,78000.000,0.709,0.491,0.830,0.984,0.515,0.790,0.577,0.647,0.779,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=14186|employed_records=11665|wage_record_share=0.984|query_mode=exact_socp
occ_43_3021_00,43-3021.00,2024,acs_1yr_pums,433021,exact_socp,5372,4506,461246.000,4415,41500.000,32000.000,54000.000,0.530,0.073,0.827,0.948,0.408,0.794,0.271,0.515,0.656,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=5372|employed_records=4506|wage_record_share=0.980|query_mode=exact_socp
occ_43_3031_00,43-3031.00,2024,acs_1yr_pums,433031,exact_socp,17390,13547,1271904.000,12835,45000.000,30000.000,60000.000,0.667,0.345,0.833,0.971,0.487,0.780,0.299,0.538,0.725,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=17390|employed_records=13547|wage_record_share=0.947|query_mode=exact_socp
occ_43_4031_00,43-4031.00,2024,acs_1yr_pums,434031,exact_socp,1123,902,85445.000,882,45000.000,30000.000,60000.000,0.667,0.345,0.832,0.699,0.656,0.794,0.466,0.645,0.651,0.904,src_census_acs_2024_1yr_pums_api,acs_api_records=1123|employed_records=902|wage_record_share=0.978|query_mode=exact_socp
occ_43_4051_00,43-4051.00,2024,acs_1yr_pums,434051,exact_socp,34026,26623,2996661.000,26376,35000.000,20000.000,52000.000,0.914,0.745,0.833,0.981,0.253,0.772,0.693,0.615,0.824,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=34026|employed_records=26623|wage_record_share=0.991|query_mode=exact_socp
occ_43_4131_00,43-4131.00,2024,acs_1yr_pums,434131,exact_socp,1188,987,104343.000,978,50000.000,40000.000,69000.000,0.580,0.127,0.821,0.663,0.169,0.790,0.350,0.481,0.559,0.913,src_census_acs_2024_1yr_pums_api,acs_api_records=1188|employed_records=987|wage_record_share=0.991|query_mode=exact_socp
occ_43_4171_00,43-4171.00,2024,acs_1yr_pums,434171,exact_socp,16354,12301,1299099.000,12151,30000.000,15000.000,40000.000,0.833,0.673,0.819,0.953,0.424,0.759,0.230,0.490,0.771,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=16354|employed_records=12301|wage_record_share=0.988|query_mode=exact_socp
occ_43_6011_00,43-6011.00,2024,acs_1yr_pums,436011,exact_socp,3431,2797,264708.000,2767,70000.000,50000.000,90000.000,0.571,0.109,0.788,0.978,0.572,0.789,0.134,0.506,0.662,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3431|employed_records=2797|wage_record_share=0.989|query_mode=exact_socp
occ_43_6014_00,43-6014.00,2024,acs_1yr_pums,436014,exact_socp,28986,21914,2046160.000,21422,40000.000,25000.000,55000.000,0.750,0.582,0.829,0.964,0.650,0.793,0.147,0.531,0.767,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=28986|employed_records=21914|wage_record_share=0.978|query_mode=exact_socp
occ_43_9041_00,43-9041.00,2024,acs_1yr_pums,439041,exact_socp,2454,2081,224537.000,2069,43700.000,34000.000,55000.000,0.481,0.000,0.828,0.719,0.290,0.791,0.389,0.525,0.564,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=2454|employed_records=2081|wage_record_share=0.994|query_mode=exact_socp
occ_43_9061_00,43-9061.00,2024,acs_1yr_pums,439061,exact_socp,18493,13662,1330918.000,13442,35000.000,19000.000,50000.000,0.886,0.709,0.831,0.976,0.639,0.795,0.393,0.616,0.814,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=18493|employed_records=13662|wage_record_share=0.984|query_mode=exact_socp
occ_43_9111_00,43-9111.00,2024,acs_1yr_pums,439111,exact_socp,582,494,51828.000,490,64000.000,45000.000,90000.000,0.703,0.455,0.815,0.974,0.484,0.778,0.967,0.771,0.790,0.854,src_census_acs_2024_1yr_pums_api,acs_api_records=582|employed_records=494|wage_record_share=0.992|query_mode=exact_socp
